node1	node2	padj	pvalue	rejected	edgewidth	width
ALB	AFM	0.03803	0.02183	True	0.7884057971014493	0.7884057971014493
ALB	APOA2	0.02417	0.01292	True	0.6552317247969422	0.6552317247969422
ALB	ATRN	0.02102	0.01103	True	0.6553750597228858	0.6553750597228858
ALB	BTD	0.00837	0.00387	True	0.6122790253225037	0.6122790253225037
ALB	CRP	0.0	0.0	True	0.5874183787227266	-0.5874183787227266
ALB	ECM1	0.00572	0.00251	True	0.5389393215480172	0.5389393215480172
ALB	FGA	0.0096	0.00453	True	0.5875617136486702	-0.5875617136486702
ALB	FGB	0.02353	0.01249	True	0.6231406274884536	-0.6231406274884536
ALB	GSN	0.03757	0.02153	True	0.6828953655040613	0.6828953655040613
ALB	ITIH1	1e-05	0.0	True	0.6751552795031056	0.6751552795031056
ALB	ITIH2	0.0	0.0	True	0.6963369963369964	0.6963369963369964
ALB	ITIH4	0.0	0.0	True	0.591559165472209	-0.591559165472209
ALB	SERPINA3	0.00719	0.00327	True	0.6200828157349897	-0.6200828157349897
ALB	SERPINA4	0.0228	0.01208	True	0.603647077560121	0.603647077560121
ALB	SERPINC1	0.00119	0.00043	True	0.5397197005892659	0.5397197005892659
ALB	TTR	0.0	0.0	True	0.5273769708552317	0.5273769708552317
AFM	APOM	0.02406	0.01283	True	0.6347826086956522	0.6347826086956522
AFM	ATRN	0.01309	0.00648	True	0.5621755056537665	0.5621755056537665
AFM	BCHE	0.04284	0.02497	True	0.5755693581780539	0.5755693581780539
AFM	C9	0.0	0.0	True	0.5059245102723364	-0.5059245102723364
AFM	CRP	0.0	0.0	True	0.6606784519827998	-0.6606784519827998
AFM	F12	0.00509	0.00221	True	0.5072782290173594	0.5072782290173594
AFM	GSN	0.00081	0.00028	True	0.7245739767478898	0.7245739767478898
AFM	HP	0.03343	0.01879	True	0.5654722089504699	-0.5654722089504699
AFM	IGFALS	0.00161	0.0006	True	0.7253543557891384	0.7253543557891384
AFM	ITIH1	0.03816	0.02192	True	0.7905398948877209	0.7905398948877209
AFM	ITIH2	0.0	0.0	True	0.7984233158146201	0.7984233158146201
AFM	ITIH4	0.0	0.0	True	0.6335881509794553	-0.6335881509794553
AFM	LBP	2e-05	0.0	True	0.5978340500079631	-0.5978340500079631
AFM	LRG1	0.04739	0.02804	True	0.6862239210065297	-0.6862239210065297
AFM	ORM1	0.00292	0.00118	True	0.7651855390985826	-0.7651855390985826
AFM	ORM2	0.02332	0.01237	True	0.6399904443382703	-0.6399904443382703
AFM	PGLYRP2	0.02254	0.01193	True	0.7992036948558688	0.7992036948558688
AFM	PON1	0.00611	0.00271	True	0.6733078515687212	0.6733078515687212
AFM	SELENOP	0.03505	0.01982	True	0.6444497531454054	0.6444497531454054
AFM	SERPINA1	0.00025	7e-05	True	0.609253065774805	-0.609253065774805
AFM	SERPINA4	0.04368	0.02554	True	0.7646121993948081	0.7646121993948081
AFM	TTR	0.00228	0.00089	True	0.6299092212135692	0.6299092212135692
APOA2	BCHE	0.00561	0.00246	True	0.5047300525561395	0.5047300525561395
APOA2	C9	0.00067	0.00022	True	0.5343048256091735	-0.5343048256091735
APOA2	CRP	0.0	0.0	True	0.5376493072145246	-0.5376493072145246
APOA2	FCGBP	0.0	0.0	True	0.5132186653925784	-0.5132186653925784
APOA2	GPLD1	0.00011	3e-05	True	0.6673037107819718	0.6673037107819718
APOA2	GSN	0.00043	0.00014	True	0.7640547857939163	0.7640547857939163
APOA2	HP	0.0	0.0	True	0.5641662685140947	-0.5641662685140947
APOA2	IGFALS	0.02452	0.01312	True	0.5365504061156235	0.5365504061156235
APOA2	ITIH1	0.04869	0.02894	True	0.7433349259436217	0.7433349259436217
APOA2	ITIH3	4e-05	1e-05	True	0.5594043637521898	-0.5594043637521898
APOA2	ITIH4	0.0	0.0	True	0.5302118171683389	-0.5302118171683389
APOA2	LRG1	0.03757	0.02151	True	0.503949673514891	-0.503949673514891
APOA2	ORM1	0.00077	0.00027	True	0.7178850135371876	-0.7178850135371876
APOA2	ORM2	0.00016	5e-05	True	0.6570632266284441	-0.6570632266284441
APOA2	PON1	0.01508	0.0076	True	0.6902213728300686	0.6902213728300686
APOA2	SERPINA1	0.0	0.0	True	0.6568561872909701	-0.6568561872909701
APOA2	SERPINC1	0.0	0.0	True	0.5038222646918299	0.5038222646918299
APOC3	APOA4	0.00139	0.00051	True	0.5125816212772735	0.5125816212772735
APOA4	LUM	0.00101	0.00036	True	0.5005733397037745	0.5005733397037745
APOM	APOA1	0.03333	0.01872	True	0.7894409937888199	0.7894409937888199
APOM	APOC1	0.03438	0.01939	True	0.8049370918936136	0.8049370918936136
APOM	B2M	0.01763	0.00903	True	0.5370281892021023	-0.5370281892021023
